163,Rachit Prints,2025-09-01,149,142.2,19.49,18.6,-4.6
164,Amanta Health,2025-09-01,126,107.35,126,107.35,-14.8
165,Snehaa Organics,2025-08-29,122,59.7,32.68,15.99,-51.1
166,Sugs Lloyds,2025-08-29,123,101.8,85.66,70.89,-17.2
167,Abril Papers,2025-08-29,61,40.5,13.42,8.91,-33.6
168,Oval Projects,2025-08-28,85,68.75,46.74,37.81,-19.1
169,Anlon Health,2025-08-26,91,145.4,121.03,193.38,59.8
170,Sattva Engg Con,2025-08-26,75,58.95,35.38,27.81,-21.4
171,Vikran Engg,2025-08-26,97,100.3,772,798.26,3.4
172,Current Infrapr,2025-08-26,80,135,41.8,70.55,68.8
173,Globtier Info,2025-08-25,72,28.65,31.05,12.35,-60.2
174,NIS Management,2025-08-25,111,72,60.01,38.92,-35.1
175,Shivashrit Food,2025-08-22,142,129.4,70.03,63.82,-8.9
176,Classic Electro,2025-08-22,87,72.3,41.51,34.5,-16.9
177,Anondita Medica,2025-08-22,145,992.05,69.5,475.49,584.2
178,ARC Insulation,2025-08-21,125,67.65,41.19,22.29,-45.9
179,Mangal Electric,2025-08-20,561,366,400,260.96,-34.8
180,LGT Business,2025-08-19,107,79.4,28.09,20.85,-25.8
181,Gem Aromatics,2025-08-19,325,165,451.25,229.1,-49.2
182,Patel Retail,2025-08-19,255,203.5,242.76,193.73,-20.2
183,Shreeji Ship,2025-08-19,252,388.2,410.71,632.69,54
184,Vikram Solar,2025-08-19,332,236.4,2079.37,1480.61,-28.8
185,Studio LSD,2025-08-18,54,12.6,74.25,17.33,-76.7
186,Regaal Resource,2025-08-12,102,72.59,306,217.77,-28.8
187,Mahendra Realto,2025-08-12,85,51.7,49.45,30.08,-39.2
188,BlueStone Jewel,2025-08-11,517,488.45,1540.65,1455.57,-5.5
189,Star Imaging,2025-08-08,142,85.95,69.47,42.05,-39.5
190,Medistep Health,2025-08-08,43,24.25,16.1,9.08,-43.6
191,ANB Metal Cast,2025-08-08,156,362.65,49.92,116.05,132.5
192,Connplex Cinema,2025-08-07,177,269.35,90.27,137.37,52.2
193,All Time Plasti,2025-08-07,275,262.5,400.7,382.48,-4.5
194,JSW Cement,2025-08-07,147,122.2,3600,2992.65,-16.9
195,Sawaliya Food,2025-08-07,120,312.45,34.83,90.7,160.4
196,Highway Infra,2025-08-05,70,59.91,130,111.26,-14.4
197,Essex Marine,2025-08-04,54,23.12,23.01,9.85,-57.2
198,Jyoti Global,2025-08-04,66,39.85,35.44,21.4,-39.6
199,Parth Electric,2025-08-04,170,210.95,49.72,61.7,24.1
200,BLT Logistics,2025-08-04,75,50,9.72,6.48,-33.3
201,Aaradhya Dispos,2025-08-04,116,135,45.1,52.49,16.4
