ISIN,CO_NAME,IBR_NAME,ISS_OPEN,ISS_CLOSE,ALLOTMENT_DATE,REFUND_DT,DEMAT_DT,TRADING_DT,HIGH,LOW,OFF_PRICE,FACE_VALUE,ISS_AMT,ISS_QTY,LISTED_PR,LISTED_GAIN,LISTED_DT,MKT_LOT,SUBS_TIMES,EXCH,ISS_TYPE,OFFER_TYPE,OFFER_OBJECTIVE,STATE,SIGNED_BY,INDUSTRY,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,MKTMKR1,MKTMKR2,MKTMKR3,MKTMKR4,MKTMKR5
INE0LEZ01016,ATHER ENERGY LTD,Ather Energy,28-04-2025,30-04-2025,02-05-2025,05-05-2025,05-05-2025,06-05-2025,321,304,321,1,2980.76,928.59,326.05,1.6,06-05-2025,46,1.5,BSE & NSE,BOOK BUILDING,BOTH,,KARNATAKA,TARUN SANJAY MEHTA,Electric 2-3 Wheeler,Nomura,JM,HSBC,Axis,,,,,,,,,,,,,,,,
INE0AOG01018,KENRIK INDUSTRIES LTD,Kenrik Indust,29-04-2025,06-05-2025,07-05-2025,08-05-2025,08-05-2025,09-05-2025,25,,25,10,8.75,34.98,25.01,0,09-05-2025,6000,,BSE SME,FIXED PRICE,FRESH,,GUJARAT,]NITINKUMAR DALPATBHAI SHAH,Jewellery-Wholesale,Turnaround,,,,,,,,,,,,,,,MNM,,,,
INE0RJ901010,SRIGEE DLM LTD,Srigee DLM,05-05-2025,07-05-2025,08-05-2025,09-05-2025,09-05-2025,12-05-2025,99,94,99,10,16.98,17.15,188.1,90,12-05-2025,1200,457.8,BSE SME,BOOK BUILDING,FRESH,,UTTAR PRADESH,SHASHI KANT SINGH,Multi-Plastic Prod,GYR,,,,,,,,,,,,,,,Globalworth,,,,
INE0MV001018,MANOJ JEWELLERS LTD,Manoj Jewellers,05-05-2025,07-05-2025,08-05-2025,09-05-2025,09-05-2025,12-05-2025,54,,54,10,16.2,30,53.95,-0.1,12-05-2025,2000,1.1,BSE SME,FIXED PRICE,FRESH,,TAMIL NADU,S MANOJKUMAR,Jewellery-Retail,Jawa,,,,,,,,,,,,,,,Shreni,,,,
INE16SF01016,BORANA WEAVES LTD,Borana Weaves,20-05-2025,22-05-2025,23-05-2025,26-05-2025,26-05-2025,27-05-2025,216,205,216,10,144.89,67.08,243,12.5,27-05-2025,69,82.7,BSE & NSE,BOOK BUILDING,FRESH,,GUJARAT,RAJKUMAR MANGILA BORANA,Synthetic Spg,Beeline,,,,,,,,,,,,,,,,,,,
INE894V01022,BELRISE INDUSTRIES LTD,Belrise Indust,21-05-2025,23-05-2025,26-05-2025,27-05-2025,27-05-2025,28-05-2025,90,85,90,5,2150,2388.89,98.5,9.4,28-05-2025,166,43.7,BSE & NSE,BOOK BUILDING,FRESH,,,SHRIKANT SHANKAR BADVR,Auto-Sheet Metal,SBI,Jefferies,HSBC,Axis,,,,,,,,,,,,,,,,
INE1ABX01018,UNIFIED DATA-TECH SOLUTIONS LTD,Unified Data,22-05-2025,26-05-2025,27-05-2025,28-05-2025,28-05-2025,29-05-2025,273,260,273,10,144.47,52.92,285,4.4,29-05-2025,400,85.1,BSE SME,BOOK BUILDING,FRESH,,,MR HIREN MEHTA,Network/V-sats,Hem,,,,,,,,,,,,,,,Hem,,,,
INE0INX01018,AEGIS VOPAK TERMINALS LTD,Aegis Vopak,26-05-2025,28-05-2025,29-05-2025,30-05-2025,30-05-2025,02-06-2025,235,223,235,10,2800,1191.49,220,-6.4,02-06-2025,63,1.7,BSE & NSE,BOOK BUILDING,FRESH,,GUJARAT,RAJ K. CHANDARIA,Const-Port/Terminal,Jefferies,IIFL,ICICI,HDFC,BNP,,,,,,,,,,,,,,,
INE0AQ201015,LEELA PALACES HOTELS & RESORTS LTD,Leela Palaces,26-05-2025,28-05-2025,29-05-2025,30-05-2025,30-05-2025,02-06-2025,435,413,435,10,3500,804.6,406.5,-6.6,02-06-2025,34,3.1,BSE & NSE,BOOK BUILDING,BOTH,,DELHI,ANURAAG BHATNADAR,Hotels,SBI,Motilal Oswal,Morgan Stanley,Kotak,JP Morgan,JM,IIFL,ICICI,Citigroup,BOA,Axis,,,,,,,,,
INE0TG901011,ASTONEA LABS LTD,Astonea Labs,27-05-2025,29-05-2025,30-05-2025,02-06-2025,02-06-2025,03-06-2025,135,128,135,10,37.67,27.9,137.45,1.8,03-06-2025,1000,2.2,BSE SME,BOOK BUILDING,FRESH,,,ASHISH GULATI,CMO-Formulations,Oneview,,,,,,,,,,,,,,,Basan,,,,
