Aptus Pharma,INE15XJ01010,198,181.51,167.22,146.25,142.35,39.1
Sigma Solve,INE0A0S01028,63,59.85,54.96,53.63,39.72,58.6
Synthiko Foils,INE363L01029,1799,1759.79,1678.19,1303.34,687.21,161.8
Piramal Finance,INE202B01038,1811.55,1712.52,1593.1,1425.74,1165.99,55.4
Nuvama Wealth,INE531F01023,1475.65,1475.19,1455.86,1452.34,1328.97,11
MCX,INE745G01043,2248.4,2217.4,2115.7,1984.84,1515.06,48.4
Amara Raja Ener,INE885A01032,919.45,922.64,925.29,958.56,992.6,-7.4
Ansal Pro,INE436A01026,3.29,3.34,3.46,3.81,4.77,-31
Aruna Hotels,INE957C01019,8.2,8.52,8.66,8.68,9.7,-15.5
Bombay Dyeing,INE032A01023,127,130.13,130.55,148.2,153.3,-17.2
Bajaj Elect,INE193E01025,471,476.1,478.96,499.39,592.46,-20.5
Balrampur Chini,INE119A01028,434.55,438.82,438.83,451.42,516.34,-15.8
Aditya Birla Re,INE055A01016,1668.5,1676.03,1683.88,1721,1935.19,-13.8
Bata India,INE176A01028,943.5,948.93,951.95,1023.43,1179.85,-20
Disa India,INE131C01011,12020,12089.71,12210.73,12902.41,13920.44,-13.7
Oriental Aroma,INE959C01023,283.2,286.28,291.46,320.11,340.85,-16.9
Dalmia Bha Sug,INE495A01022,292.25,295.55,297.25,320.18,363.48,-19.6
Arvind,INE034A01011,312.05,316.86,317.54,324.66,335.42,-7
DCW,INE500A01029,56.73,57.45,58.08,62.37,73.76,-23.1
Ester Ind,INE778B01029,99.2,101.28,104.82,108.46,121.97,-18.7
Goodricke ,INE300A01016,167.2,169.41,170.76,180.87,199.14,-16
GTN Ind,INE537A01013,20.2,20.96,21.99,23.36,26.61,-24.1
GHCL,INE539A01019,568.05,568.07,571.02,599.56,610.66,-7
IG Petro,INE204A01010,382,393.1,393.6,398.44,437.71,-12.7
Jindal Poly ,INE197D01010,478.75,480.36,485.94,526.57,622.13,-23.1
Kakatiya Cement,INE437B01014,126.05,128.1,130.38,137.77,151.84,-17
Whirlpool,INE716A01013,878.55,897.17,918.1,1123.15,1217.03,-27.8
KG Denim,INE104A01012,16.15,16.81,16.95,17.42,18.28,-11.7
Kirloskar Ind,INE250A01039,3195,3201.04,3254.7,3544.64,3684.14,-13.3
Envair Elect,INE601C01013,67.22,69.28,71.13,78.37,90.67,-25.9
Spicejet,INE285B01017,29.48,29.82,31.1,33.48,39.79,-25.9
Nahar Spg,INE290A01027,190.5,193.37,195.61,200.83,227.21,-16.2
Nirlon,INE910A01012,499.2,500.84,501.84,502.6,516.43,-3.3
Indian Sucrose,INE557C01017,72.72,74.31,76.54,82.46,94.26,-22.9
Raymond,INE301A01014,426.25,429.14,434.64,501.15,874.94,-51.3
Pix Trans,INE751B01018,1331.55,1386.27,1429.71,1446.91,1560.74,-14.7
Rajshree Sugar,INE562B01019,33.7,34.57,35.28,36.98,43.45,-22.4
Thirumalai Chem,INE338A01024,224.6,231.64,232.82,251.21,267.13,-15.9
MPIL Corp,INE844C01027,358.1,376.94,407.36,481.97,547.44,-34.6
NOCIL,INE163A01018,149,151.31,155.41,169.47,185.31,-19.6
Indl & Prud,INE620D01011,5440,5440.52,5568.28,5848.45,6048.29,-10.1
WH Brady,INE855A01019,619.65,625.05,629.64,669.15,763.57,-18.9
Global Offshore,INE446C01013,54.15,55.63,59.05,65.91,81.08,-33.2
Saurashtra Cem,INE626A01014,82.05,82.32,82.59,92.12,95.63,-14.2
Triveni Glass,INE094C01011,9.16,9.35,9.44,10.92,13.54,-32.4
Nilachal Refra,INE416N01013,34.74,36.4,39.3,40.02,42.08,-17.4
Citadel,INE906D01014,38.8,41.65,45.96,55.48,57.79,-32.9
Katare Spg,INE498G01015,96.95,103.41,105.11,116.83,156.37,-38
Marathon Next,INE182D01020,526.55,534.24,534.4,565.52,569.55,-7.6
Reliance Chemo,INE750D01016,135.25,136.45,138.33,147.48,168.04,-19.5
Simplex Real,INE167H01014,163.6,164.81,167.51,176.35,194.08,-15.7
Svaraj Trading,INE406N01014,7.47,7.67,7.9,8.32,8.73,-14.4
Veer Energy ,INE255E01030,13.2,13.4,13.72,14.93,17.31,-23.7
Elcid Invest,INE927X01018,125650,125710.13,127397.47,130656.94,135401.02,-7.2
Zensar Tech,INE520A01027,701.5,702.25,722.56,741.34,775.61,-9.6
Jyoti,INE511D01012,83,84.25,87.47,88.19,92.69,-10.5
Nelco,INE045B01015,712.85,723.34,740.51,815.1,881.67,-19.2
Delton Cables,INE872E01016,628.25,633.38,634.31,686.52,712.27,-11.8
Jainex Aamcol,INE280F01019,123.6,125.13,131.02,165.81,182.91,-32.4
Monotype ,INE811D01024,.43,.44,.46,.5,.69,-37.7
Semac Construct,INE617A01013,298,303.15,303.5,360.12,398.91,-25.3
Wendt ,INE274C01019,7749.9,7803.2,7997,8295.43,9606.25,-19.3
SNL Bear,INE568F01017,372.95,373.89,374.95,378.93,380.52,-2
Mangal Credit,INE545L01039,165.6,165.74,168.04,174.76,176.15,-6
TRF,INE391D01019,297,300.24,300.52,314.71,350.49,-15.3
Visagar Poly,INE370E01029,.6,.62,.68,.74,.84,-28.6
Styrenix Perfor,INE189B01011,1954,1993.3,2014.04,2180.05,2642.14,-26
DMCC Spe Chem,INE505A01010,248.55,253.27,257,275.91,294.18,-15.5
GOCL Corpn,INE077F01035,287.6,290.73,293.67,320.15,330.94,-13.1
Kemp Co,INE060E01018,1063.15,1110.33,1188.01,1296.95,1368.49,-22.3
Amal,INE841D01013,655,667.89,669.73,707.02,734.02,-10.8
Unichem Lab,INE351A01035,434.5,437.56,446.23,460.95,568.33,-23.6
Makers Labs,INE987A01010,113.9,116.28,117.59,124.18,143.8,-20.8
Jagatjit Ind,INE574A01016,143.5,143.92,145.6,169.66,184.64,-22.3
Rana Sugars,INE625B01014,12.24,12.34,12.7,13.53,14.68,-16.6
Piccadily Sugar,INE544C01023,40.47,40.66,41.69,45.03,51.84,-21.9
Associated Alco,INE073G01016,940,948.13,951.57,1003.71,1103.64,-14.8
Dhanuka Agri,INE435G01025,1134.1,1166.37,1191.17,1275.09,1444.87,-21.5
