140,INE01IU01018,,,,,,,,,
141,INE01J501010,,,,,,,,,
142,INE01JE01010,,,,,,,,,
143,INE01K301012,,,,,,Y,,,
144,INE01KI01027,,,,,,,,,
145,INE01NE01012,,,,,,Y,Y,,
146,INE01P501012,,,,,,,,,
147,INE01QM01018,,,,,,Y,,,
148,INE01R501028,,,,,,Y,Y,,
149,INE01TL01014,,,,,N,,,,
150,INE01TY01017,,,,,,Y,Y,Y,
151,INE01YQ01013,,,,,N,,,,
152,INE01Z401013,,,,,Y,Y,Y,Y,Y
153,INE020801028,,,,,,Y,Y,,
154,INE020B01018,,,,Y,,Y,Y,,
155,INE020D01022,,,,,,,,,
156,INE020G01017,,,,,N,,,,
157,INE020J01029,,,,,,Y,,,
158,INE020S01012,,,,,,Y,,,
159,INE021A01026,,,,,,Y,,,
160,INE021O01019,,,,,,,,,
161,INE022I01019,,,,,,,,,
162,INE022Q01020,,,,,,Y,,,
163,INE023A01030,,,,,,,,,
164,INE023H01027,,,,,,,,,
165,INE023M01027,,,,,N,,,,
166,INE023R01018,,,,,,,,,
167,INE024001021,,,,,,Y,Y,Y,
168,INE024B01010,,,,,,Y,,,
169,INE024D01016,N,N,,,N,,,,
170,INE024F01011,,,,,N,,,,
171,INE024L01027,,,,,,,,,
172,INE025A01027,,,,,N,,,,
173,INE025B01025,,,,,,Y,,,
174,INE025D01013,,,,,Y,Y,Y,Y,Y
175,INE025R01021,,,,,,,,,
176,INE026A01025,,,,,,,,,
177,INE026C01013,,,,,,Y,Y,,
178,INE026D01011,,,,N,N,,,,
179,INE026I01010,,,,,,Y,,,
180,INE026L01022,,,,,,Y,,,
181,INE027A01015,,,,,,,,,
182,INE027D01019,,,,,N,,,,
183,INE027F01014,Y,,,,Y,Y,Y,Y,Y
184,INE027H01010,,,,,,Y,,,
185,INE027T01023,,,,,,,,,
186,INE028A01039,,,,,Y,Y,Y,Y,Y
187,INE029A01011,,,,,,,,,
188,INE029B01019,,,,,,Y,Y,,
189,INE029H01016,,,,,,,,,
190,INE029L01018,,,,,,,,,
191,INE029Q01017,,,,,,,,,
192,INE02A801020,,,,,N,,,,
193,INE02AP01013,,,,,,,,,
194,INE02AR01019,,,,,,Y,Y,,
195,INE02EE01019,,,,,,Y,,,
196,INE02EZ01022,,,,,,,,,
197,INE02GA01012,,,,N,,,,,
198,INE02H701025,,,,,N,,,,
199,INE02ID01020,,,,,N,,,,
200,INE02IJ01035,,,,,,,,,
201,INE02NC01014,,,,,,,,,
202,INE02OY01016,,,,,Y,Y,Y,Y,Y
203,INE02PC01027,,,,,,,,,
204,INE02PY01013,,,,,N,,,,
205,INE02RE01045,,,,,,Y,Y,,
206,INE02S501018,,,,,,Y,Y,,
207,INE02WG01024,,,,,,Y,,,
208,INE02XD01011,,,,,,,,,
209,INE02YR01019,,,,,N,,,,
210,INE02Z901011,,,,,,,,,
211,INE02ZQ01018,,,,,,Y,Y,,
212,INE030A01027,,,,Y,,Y,Y,,
213,INE030C01015,,,,,,Y,Y,Y,
214,INE030P01017,,,,,N,,,,
215,INE030Q01015,,,,,,,,,
216,INE030T01027,,,,,N,,,,
217,INE031A01017,,,,,,,,,
218,INE031B01049,,,,,,,,,
219,INE031G01022,,,,,,,,,
220,INE032A01023,,,,,N,,,,
221,INE032B01021,,,,,,Y,,,
222,INE032E01017,,,,,,,,,
223,INE032Z01020,,,,,,,,,
224,INE033C01019,,,,,,,,,
225,INE034A01011,,,,,N,,,,
226,INE034B01019,,,,,,Y,,,
