Jost's Engg,INE636D01041,297.4,70.5,3,5.2,12994,60.2,299.8,281.3,310.76,-4.3,417.57,-28.8,631.95,280
Fusion Finance,INE139R01012,177.3,2325.82,115,5.2,1926952,221.9,181.9,162,170.66,3.9,171.27,3.5,211.8,124.9
Indef Manufactu,INE0O9T01021,366.15,1171.68,58,5.2,302985,1293.2,379.85,349.15,356.13,2.8,340.37,7.6,580.85,202.05
Trustwave Secur,INE668Y01016,16.21,10.6,1,5.1,580,-42,16.21,16.21,19.72,-17.8,23.55,-31.2,32.59,14.85
Yash Mgmt,INE216B01012,9.15,15.56,1,5.1,627,-93.5,9.23,8.8,9.59,-4.6,10.63,-13.9,14,8.4
Ahmedabad Stl,INE868C01018,202.75,305.99,15,5.1,5743,-42.5,206,194.15,187.49,8.1,229.78,-11.8,307.45,157
Integrated Cap,INE682B01023,4.38,15.59,1,5.1,7333,25.6,4.4,3.94,4.28,2.3,4.29,2.1,5.39,3.45
Flora Corpn,INE318U01016,9.27,8.1,0,5.1,19416,5.6,9.27,9.25,8.92,3.9,9.03,2.7,13.28,6.3
AVP Infracon,INE0R9401019,125.1,312.49,15,5.1,62400,34.5,127,121.05,143.37,-12.7,171.12,-26.9,264.3,118
Polyspin Exp,INE914G01029,35.73,35.73,2,5.1,1168,-47.5,37.5,32.61,34.94,2.3,36.22,-1.4,44,31.13
Hckk Venture,INE345Q01017,32.49,12.05,1,5.1,633,133.6,35.89,29.85,31.77,2.3,63.58,-48.9,165,26.5
Ranjit Sec,INE863D01017,18.49,4.97,0,5.1,180,3500,18.49,18.49,12,54.1,12,54.1,18.49,6.24
Lead Fin Serv,INE531D01010,19.45,6.42,0,5.1,302,2416.7,19.45,18.53,17.96,8.3,20.29,-4.1,27.83,13.32
The Inves Trust,INE924D01017,118.4,618.55,30,5.1,26501,-34.5,118.4,111,128.46,-7.8,146.01,-18.9,198.4,108.3
Crisil,INE007A01025,4661.9,34078.49,1614,5,353713,534.8,4700,4442.1,4582.35,1.7,4954.93,-5.9,6329.95,3893.85
Shree Salasar,INE315N01017,76.17,24.37,1,5,10,0,76.17,76.17,0,0,0,0,76.17,14.58
Indokem,INE716F01012,761.35,2123.41,101,5,13289,82.2,761.35,721.5,733.8,3.8,375.78,102.6,930,96.6
Arunis Abode,INE377D01018,162.2,827.22,39,5,1094246,21.1,162.2,148.1,124.33,30.5,217.79,-25.5,635.85,49.9
Siddheswari Gar,INE797C01019,19.58,6.48,0,5,1074,170.5,19.58,18.65,20.2,-3.1,20.03,-2.2,25.85,12.37
Spice Island,INE882D01017,188.2,80.93,4,5,8165,-89.3,188.2,188.2,108.15,74,65.71,186.4,198.55,31.6
Stellant Sec,INE395F01023,447.45,165.67,8,5,121,-38.9,447.45,447.45,323.07,38.5,124.14,260.4,447.45,15.53
NACL Ind,INE295D01020,180.3,4216.93,200,5,156051,-17.2,180.3,167.45,185.07,-2.6,180.49,-.1,337.65,54
Adline Chem Lab,INE276T01018,9.67,5.66,0,5,100,-50,9.67,9.67,14.69,-34.2,14.96,-35.4,21.14,7.6
Jetking,INE919C01019,162.4,102.37,5,5,8580,36.7,162.4,155.15,161.82,.4,172.53,-5.9,400.25,65.55
Soma Papers,INE737E01011,210.15,29.47,1,5,681,-93.3,210.15,210.15,88.94,136.3,79.69,163.7,210.15,43.89
Garware Syn,INE340D01016,12.4,7.2,0,5,118,-60.7,12.4,12,20.67,-40,26.98,-54,39.79,11.81
Sreechem Resins,INE377C01010,46.47,18.59,1,5,1000,-52.4,46.47,45.99,35.19,32.1,41.82,11.1,66.34,29.26
Adinath Tex,INE207C01019,24.47,17.12,1,5,1803,-74.7,24.47,24.47,26,-5.9,25.31,-3.3,43.39,15.46
Glittek Granite,INE741B01027,13.28,35.3,2,5,110992,19.4,13.28,13.28,12.19,8.9,8.1,64,14.99,2.49
Baroda Ext,INE927K01023,12.07,179.9,9,5,1971958,-.1,12.3,11.65,8.09,49.2,8.24,46.5,12.3,6.23
Onix Solar,INE173M01012,628.95,124.53,6,5,3212,-33.6,628.95,628.95,338.95,85.6,336.86,86.7,628.95,160.05
Omega Interact,INE113B01029,499.05,79.82,4,5,3078,128,499.05,499.05,374.65,33.2,221.92,124.9,569.85,67.9
Mayur Leather,INE799E01011,26.88,13.38,1,5,2482,-38.2,26.88,26.88,18.63,44.3,17.94,49.8,26.88,10.09
Vas Infra,INE192C01013,14.4,21.79,1,5,28855,-34.3,14.4,14.07,17.72,-18.7,11.86,21.4,29.5,5
Golechha Glob,INE427D01011,21.53,11.84,1,5,5404,270.9,21.53,20.05,26.2,-17.8,26.72,-19.4,38.2,19
Pankaj Polymers,INE698B01011,49.31,27.34,1,5,18563,122.2,49.31,49.31,24.59,100.5,19.03,159.1,49.31,12.84
Kinetic Trust,INE674M01019,52.85,17.76,1,5,250,-61.7,52.85,52.85,28.35,86.4,28.35,86.4,52.85,19.98
Checkpoint Tre,INE396H01019,138.75,75.87,4,5,20289,-44.8,138.75,133,89.56,54.9,41.73,232.5,138.75,9.41
Suven Life,INE495B01038,169.75,3861.37,184,5,875369,343.5,174,158.45,180.26,-5.8,186.35,-8.9,303,102.7
Iykot Hitech,INE079L01013,12.48,15.86,1,5,42514,165.1,12.48,11.3,12.38,.8,13.45,-7.2,18.74,10.2
Sunil Ind,INE124M01015,87.3,36.65,2,5,100,-66.7,87.3,87.3,85.63,2,84.72,3,119.25,60.28
Hypersoft Tech,INE039D01014,71.4,117.75,6,5,5115,-58.6,71.4,69.36,76.47,-6.6,62.98,13.4,100.59,17.56
Alstone Textile,INE184S01024,.21,26.77,1,5,84746610,-66.3,.21,.19,.34,-38.2,.54,-61.1,.92,.19
Alan Scott Ent,INE273F01022,397.75,216.68,10,5,7188,131.7,397.75,392.8,321.51,23.7,203.34,95.6,397.75,92
Kalpa Comm,INE059Q01014,9.08,9.31,0,5,4935,-62.6,9.08,8.82,10.4,-12.7,10.17,-10.7,16.47,2.56
Sar Auto,INE002E01010,2047,975.33,46,5,15,50,2047,1900,2040.05,.3,1904.62,7.5,2224.95,1445
My Money Sec,INE232L01018,39.94,67.1,3,5,539,59.5,39.94,39.94,44.08,-9.4,37.55,6.4,55.79,19.25
Coromandel Engg,INE312J01012,103.8,344.96,16,5,51761,208.5,103.8,98.9,70.79,46.6,62.59,65.8,114.93,41.52
Swan Defence,INE542F01020,1772.3,9336.87,444,5,1728,-96.3,1772.3,1772.3,587.44,201.7,456.18,288.5,1772.3,35.99
Embassy Develop,INE069I01010,62.59,8578.77,408,5,2977963,-75.7,62.59,61.01,78.7,-20.5,104.24,-40,163.7,55.8
Prolife Ind,INE994V01012,70.35,28.8,1,5,2500,-61.5,70.35,70.35,96.4,-27,176.29,-60.1,361,67
OBSC Perfection,INE0YHV01011,322.2,787.86,37,5,67200,180,324.7,306.95,314.29,2.5,256.88,25.4,360,144.9
HRH Next Servic,INE0R3501012,32.75,30.15,1,5,4500,-78.6,32.75,32.75,31.54,3.8,52.46,-37.6,98.2,25.3
DUDigital Glob,INE0HPK01012,31.5,219.68,10,5,10000,-42.9,31.5,31,32.5,-3.1,46.75,-32.6,70,28.05
Divine Power En,INE0SCO01019,299.95,712.83,34,5,31500,-35.1,299.95,295,274.11,9.4,176.72,69.7,305.7,92.05
CPS Shapers,INE0QBU01012,1306.2,274.3,13,5,3450,109.1,1306.45,1300,944.57,38.3,725.38,80.1,1306.45,412
Kavveri Defence,INE641C01019,73.89,253.99,12,5,131607,-66.3,73.89,70.39,93.57,-21,68.43,8,161.05,41.15
Nanta Tech,INE0YJA01011,269.5,138.26,7,5,44400,-62.6,269.5,250,260.13,3.6,260.13,3.6,270.8,234
Earkart,INE1A8F01035,168.95,232.37,11,5,2000,0,168.95,168.95,192.69,-12.3,192.69,-12.3,265.95,135.5
TechD Cybersecu,INE0Y5H01014,654.8,489.77,23,5,18000,-9.1,654.8,639,687.32,-4.7,659.78,-.8,843.6,366.7
Supreme Engg,INE319Z01021,1.47,36.75,2,5,62289,-49.5,1.47,1.47,1.11,32.4,1.93,-23.8,3.04,.68
Sunlite Recycl,INE0U2N01013,375.1,408.11,19,5,48600,-4.7,375.1,369,257.23,45.8,173.79,115.8,375.1,91
Sacheerome,INE1ARD01016,410.05,917.4,44,5,29400,-40.2,410.05,397,306.96,33.6,239.56,71.2,428.55,140.5
Aptus Pharma,INE15XJ01010,198,99,5,5,24000,500,198,198,146.25,35.4,142.35,39.1,198,80.8
Covance Softsol,INE0R8101016,111.61,247.17,12,5,399,-20.5,111.61,111.61,82.75,34.9,38.92,186.8,111.61,2.06
