Samrat Forg,INE412J01010,214.7,368.5,214.7,-153.8,-41.7
Wardwizard Inno,INE945P01024,6.81,39.37,6.56,-32.81,-83.3
Niks Tech,INE0GX601011,432.2,504,432.2,-71.8,-14.2
Clean Science,INE227W01023,867.5,1599,856.2,-742.8,-46.5
Epigral,INE071N01016,1168.3,2114.3,1150.75,-963.55,-45.6
DCM Shriram Ind,INE843D01027,54,195.1,52.5,-142.6,-73.1
Indo National,INE567A01028,399,589,385,-204,-34.6
Euro Panel,INE505V01016,169.3,254.2,169.25,-84.95,-33.4
AWL Agri Busine,INE699H01024,230.7,332.6,229.75,-102.85,-30.9
Integra Essen,INE418N01035,1.5,3.37,1.48,-1.89,-56.1
Vedant Fashion,INE825V01034,562.55,1276.25,556,-720.25,-56.4
Nouveau Global,INE317B01042,.49,.63,.49,-.14,-22.2
Jubilant Food,INE797F01020,547.4,796.75,532.75,-264,-33.1
Garment Mantra,INE653S01028,1.26,2.67,1.2,-1.47,-55.1
ZR2 Bioenergy,INE218N01021,235,456.5,202,-254.5,-55.8
Sawaca Enterpri,INE248B01023,.36,.73,.35,-.38,-52.1
Healthy Life,INE0L3501015,11.67,97.25,11.4,-85.85,-88.3
Nikhil Ad,INE926C01022,77.86,129,77.5,-51.5,-39.9
Kaynes Techno,INE918Z01012,3790.4,7705,3710.4,-3994.6,-51.8
Alstone Textile,INE184S01024,.21,.92,.19,-.73,-79.3
Resgen,INE0NYN01016,64.5,114.35,63.36,-50.99,-44.6
Organic Recyc,INE0MIO01019,223,377,219.25,-157.75,-41.8
Sigachi Ind,INE0D0K01022,30.5,59.5,30.32,-29.18,-49
Prudential Sug,INE024D01016,19.8,71.75,18.61,-53.14,-74.1
Mukka Proteins,INE0CG401037,23.95,41.08,23.59,-17.49,-42.6
Dhatre Udyog,INE715T01031,5.65,12.14,5.62,-6.52,-53.7
Worth Invest,INE114O01020,5.29,33.3,5.29,-28.01,-84.1
National Peroxi,INE0PO601011,429.7,835,426.05,-408.95,-49
Thinkink Pictur,INE365S01045,.23,.51,.22,-.29,-56.9
Money Masters,INE340O01021,.71,8.32,.7,-7.62,-91.6
Premier Energie,INE0BS701011,762.45,1339.35,748.1,-591.25,-44.1
Jash Engg,INE039O01029,408.45,647.45,403.65,-243.8,-37.7
Afcons Infra,INE101I01011,377,556.85,376.15,-180.7,-32.5
Shradha AI Tech,INE489B01031,30.55,63.64,30,-33.64,-52.9
Citichem India,INE0A8401016,23.4,68.28,22.3,-45.98,-67.3
Jagsonpal Phar,INE048B01035,187.5,301.8,185,-116.8,-38.7
Julien Agro,INE890N01027,2.12,7.12,2.1,-5.02,-70.5
Jolly Plastic,INE289M01016,37.56,192.15,37.56,-154.59,-80.5
T T,INE592B01024,8.3,17,8.12,-8.88,-52.2
Swasth Foodtech,INE0TIR01017,25,94,22.7,-71.3,-75.9
Shanagar Decor,INE118R01032,.29,1.18,.27,-.91,-77.1
Oswal Pumps,INE0BYP01024,505.25,889.45,483.8,-405.65,-45.6
Ellenbarrie Ind,INE236E01022,321,637,318.75,-318.25,-50
Star Imaging,INE0YG001013,85.95,152,81.8,-70.2,-46.2
Austere Systems,INE104201012,45.5,79.32,44.9,-34.42,-43.4
Vashishtha Luxu,INE0WRP01016,110,227,110,-117,-51.5
Jaro Institute,INE00YJ01010,443.55,890,442,-448,-50.3
Systematic Ind,INE1KLZ01011,188,247.75,177.5,-70.25,-28.4
Unison Metal,INE099D01026,1.36,2.9,1.22,-1.68,-57.9
Sudeep Pharma,INE0QPI01025,593,795.8,586.05,-209.75,-26.4
Logiciel Soluti,INE1BA901016,64.75,154.4,64.75,-89.65,-58.1
Astron Multigra,INE0RUY01012,19.96,50.4,18.61,-31.79,-63.1
Western Oversea,INE1MF401019,19.85,54.9,19.85,-35.05,-63.8
Bharat Rasayan,INE838B01021,2150,3030.25,2135,-895.25,-29.5
Methodhub Soft,INE0QZR01017,131.9,171.95,131,-40.95,-23.8
Wakefit Innovat,INE0E7301029,168.55,203.7,166.1,-37.6,-18.5
Shipwaves Onlin,INE0O9L01010,5.01,12,5.01,-6.99,-58.3
Neptune Logitek,INE1NQ501012,54.42,100.8,54.42,-46.38,-46
Abhishek Integ,INE0CAJ01017,35.2,90.9,35.2,-55.7,-61.3
Airan,INE645W01026,17.71,37.3,16.61,-20.69,-55.5
Cash UR Drive,INE0WL201014,125,166.5,120,-46.5,-27.9
Dhara Rail Proj,INE2HJL01019,131.15,157.5,128.35,-29.15,-18.5
Divyadhan Recyc,INE0QYI01019,26.85,74.15,26.85,-47.3,-63.8
E to E Transpor,INE1CEJ01017,295.9,347.1,295.9,-51.2,-14.8
Ecoline Exim,INE0VBS01016,122.95,143.9,118,-25.9,-18
Elgi Rubber ,INE819L01012,41.28,140,40.52,-99.48,-71.1
Eleganz Interio,INE0R9101015,88,163.5,85.7,-77.8,-47.6
EPW India,INE1KEC01023,101.7,122.35,98.8,-23.55,-19.2
Falcon Techno,INE0PQK01013,14.8,51.5,14.75,-36.75,-71.4
Jay Bee Laminat,INE0SMY01017,114.4,375.6,112,-263.6,-70.2
Marc Technocrat,INE0TD401015,48.15,74.4,48.15,-26.25,-35.3
Maxposure,INE0ECC01022,43.6,102,43.1,-58.9,-57.7
Megatherm Induc,INE531R01010,211.45,380,207.95,-172.05,-45.3
Mittal Life,INE997Y01027,1.07,2.5,1.05,-1.45,-58
Manas Polymers,INE0U4H01011,84.3,153.9,80,-73.9,-48
Neochem Solutio,INE21UM01018,82.55,113.4,82.5,-30.9,-27.2
Omfurn India,INE338Y01016,77,140,76,-64,-45.7
On Door Concept,INE00ER01015,109.65,321.1,100,-221.1,-68.9
