82,4,Const-Infra-Telecom,6,118423,-719.89,-.6,58864,3,2439,2.1,4275,3.7,20348,20.7,1918,1.6,23984,25.4,I51000T51910,51220
83,5,Payment Gateway,3,114422,-161.4,-.1,113978,4,3063,2.8,-1672,-1.4,34160,42.6,53190,86.9,48364,73.2,I71000T71310,71112
84,2,Electronics-Divers,1,111049,1184,1.1,27762,2,3494,3.2,-7257,-6.1,-5078,-4.4,-6105,-5.2,-119390,-51.8,I24600T24690,24690
85,2,Brokerage/Commission,44,110944,-686.56,-.6,44999,3,2260,2.1,-901.02,-.8,-3242,-2.8,1580,1.4,247.24,.2,I62100T62190,62120
86,5,Const-Airport,1,110289,-1320,-1.2,37233,6,1742,1.6,950.31,.9,16493,17.6,15353,16.2,29650,36.8,I51000T51910,51431
87,1,Stock Exchanges,1,110228,1320,1.2,110228,1,5103,4.9,-4464,-3.9,20026,22.2,3225,3,41348,60,I72400T72490,72410
88,4,Bearing/Allied,12,106574,-567.94,-.5,36135,4,1044,1,-1394,-1.3,-21985,-17.1,-19785,-15.7,-9161,-7.9,I24200T24290,24271
89,3,Edible Oil,17,104030,-549.84,-.5,33846,3,1303,1.3,-916.44,-.9,31521,43.5,1539,1.5,-16155,-13.4,I11200T12390,12110
90,1,Consumer Electronics,4,102305,1652,1.6,15615,2,-2437,-2.3,-7179,-6.6,101394,11138.1,101299,10072,100383,5223.8,I24400T24490,24430
91,1,Online-Multibrand,5,102052,-190.78,-.2,57380,1,2003,2,4884,5,-182.6,-.2,16652,19.5,12962,14.5,I42100T42112,42112
92,4,Soft-Financial,10,98724,-1088,-1.1,35677,4,109.34,.1,-6585,-6.3,-15561,-13.6,-23302,-19.1,-57333,-36.7,I53000T53390,53240
93,3,Sponge/Pig Iron,15,95826,-1529,-1.6,36887,3,2097,2.2,8433,9.6,-251.03,-.3,-13326,-12.2,-8753,-8.4,I31000T31190,31110
94,6,Const-Railways,6,93490,-459.5,-.5,27427,7,763.19,.8,12938,16.1,3553,4,-8173,-8,-11982,-11.4,I51000T51910,51140
95,3,Climatic Control ,6,92466,-355.6,-.4,59728,2,6940,8.1,7210,8.5,1422,1.6,3352,3.8,-18120,-16.4,I24700T24890,24820
96,3,QSR/Food Chains,8,89194,-210.61,-.2,43429,3,-1367,-1.5,-4976,-5.3,-15943,-15.2,-7267,-7.5,-15008,-14.4,I61100T61490,61331
97,8,Power Ancill-Divers,3,88720,-761.03,-.9,27105,8,2363,2.7,-1778,-2,2808,3.3,-4484,-4.8,21709,32.4,I52100T52390,52390
98,2,Job/Matrimony,4,88239,-426.62,-.5,54778,2,-339.81,-.4,-3337,-3.6,-2934,-3.2,-9546,-9.8,-27830,-24,I53400T53590,53523
99,6,Bank-PSU-Retail,1,85259,2227,2.7,26780,6,4458,5.5,1009,1.2,-573.88,-.7,-1362,-1.6,15697,22.6,I71000T71310,71260
100,4,Special Steel,6,78364,-667.88,-.8,29511,4,1740,2.3,9076,13.1,7369,10.4,13554,20.9,16882,27.5,I31000T31190,31151
101,7,Realty-Commercial,15,77529,486.49,.6,39927,5,4183,5.7,9104,13.3,13128,20.4,14630,23.3,15165,24.3,I51000T51910,51320
102,6,Eyecare,3,77456,-198.87,-.3,63677,6,-2827,-3.5,4625,6.3,77101,21735.2,77198,29950.8,77193,29409.3,I21500T21592,21583
103,3,Portfolio Mngt Serv,4,74413,-343.28,-.5,60090,2,157.44,.2,3663,5.2,7139,10.6,7865,11.8,12249,19.7,I62100T62190,62161
104,2,Wind Machinery,1,73327,-315.53,-.4,64726,2,1962,2.7,2332,3.3,-866.93,-1.2,-16180,-18.1,-7076,-8.8,I24300T24390,24334
105,2,Consumer Electronics-TV,4,72939,-1878,-2.5,51286,1,-116.87,-.2,-11746,-13.9,-31693,-30.3,-19542,-21.1,-35964,-33,I24400T24490,24432
106,5,Auto Metal Compo,23,72752,35.95,0,29805,5,2487,3.5,3234,4.7,859.88,1.2,5742,8.6,18816,34.9,I24200T24290,24220
107,4,O&G Explo-Onshore,2,71840,1057,1.5,30545,4,2309,3.3,2306,3.3,499.84,.7,-4721,-6.2,-2765,-3.7,I32200T32290,32280
108,5,BPOs/KPOs ,39,67975,-80.52,-.1,28594,7,1946,2.9,-1584,-2.3,99.92,.1,-1165,-1.7,-5357,-7.3,I53000T53390,53330
109,1,Multi-Plastic Prod,9,67136,235.41,.4,30893,1,4125,6.5,2907,4.5,-9599,-12.5,-12931,-16.2,-19054,-22.1,I23300T23390,23390
110,1,Footwear,15,65549,-731.92,-1.1,21311,1,-4.42,0,1441,2.2,-7848,-10.7,-4834,-6.9,-16204,-19.8,I22200T22290,22240
111,6,Soft-Healthcare,3,65217,-557.72,-.8,30736,5,-50.45,-.1,1146,1.8,4506,7.4,4477,7.4,-4529,-6.5,I53000T53390,53250
112,2,Tele Service-Divers,6,63535,91.45,.1,24898,2,-444.66,-.7,-902.44,-1.4,2227,3.6,-3420,-5.1,-2823,-4.3,I53600T53890,53890
113,2,Wholesale ,196,62990,-829.7,-1.3,30743,2,-1066,-1.7,-613.21,-1,-6932,-9.9,3330,5.6,12768,25.4,I42100T42112,42100
114,4,Multi-Spl Hospital,15,62826,-1362,-2.1,34027,4,848.33,1.4,-3293,-5,-4343,-6.5,-4866,-7.2,-3949,-5.9,I61100T61490,61211
115,1,Refractories/Pottery,8,62524,-165.27,-.3,27161,1,164.93,.3,3122,5.3,-3066,-4.7,-2751,-4.2,7215,13,I32500T32790,32620
116,8,Industrial Gas,8,62377,501.89,.8,15670,10,656.49,1.1,386.9,.6,-2549,-3.9,-7078,-10.2,-4018,-6.1,I21100T21490,21150
117,7,Pharma-API,25,60377,-635.58,-1,27466,7,-208.01,-.3,-2178,-3.5,-2156,-3.4,-5.75,0,-2189,-3.5,I21500T21592,21511
118,4,Sugar,34,59918,-533.92,-.9,29304,4,-917.23,-1.5,-597.94,-1,-2993,-4.8,-9501,-13.7,-6921,-10.4,I11200T12390,12140
119,1,Defence Ancillaries,3,59077,91.94,.2,15059,1,3464,6.2,1374,2.4,-594.12,-1,-15975,-21.3,15292,34.9,I24900T25090,24930
120,2,Commodity Exchanges,2,57380,1285,2.3,57244,2,1770,3.2,4553,8.6,15564,37.2,12078,26.7,27687,93.2,I72400T72490,72420
121,7,Soft-Manufacturing,2,57335,-427.93,-.7,30568,6,-326.11,-.6,-4066,-6.6,-2942,-4.9,-5740,-9.1,-17531,-23.4,I53000T53390,53270
