37,,37,Power Grid,249721,-2930,-1.2,121514,29,7626,3.2,-1163,-0.5,-16741,-6.3,-23810,-8.7,-34924,-12.3,268.5,271.65,-3.15,-1.2,266.4,273.25,266.35,268.5,11954,3215,85028,INE752E01010,I52100T52390,52210,Power Transmission,1,1.2,POWER & NON-CONVENTIONAL ENERGY MINISTRY,2,POWER GRID CORPORATION OF INDIA LTD,532898,POWERGRID,1,15.7,11.9,15.61,29.77,17.2,9,90,3.4,1.32
38,,38,Vedanta,243046,2346,1,106016,36,6276,2.7,37986,18.5,58865,32,63635,35.5,70067,40.5,621.6,615.6,6,1,618.7,628,618,621.6,11357,7078,141179,INE205A01025,I32300T32390,32320,Mining-Non Precious,1,1140,VEDANTA,2,VEDANTA LTD,500295,VEDL,0,33,30.9,34.74,66.61,17.9,9.3,5050,8.1,1.84
39,,39,Avenue Super,238486,1249,0.5,60456,81,-5801,-2.4,-18748,-7.3,-41455,-14.8,-38803,-14,-17537,-6.8,3664.9,3645.7,19.2,0.5,3644,3679,3607.1,3664.9,627,2286,59492,INE192R01011,I42200T43010,42210,Mall/Supermkt,1,1643,DAMANI-RADHAKISHAN,1,AVENUE SUPERMARTS LTD,540376,DMART,0,12.6,17.8,41.44,56.42,88.4,65,0,0,0
40,,40,Tata Steel,232489,624.3,0.3,155326,21,13048,5.9,23848,11.4,20290,9.6,28968,14.2,67424,40.8,186.2,185.7,0.5,0.3,186.8,187.9,184.55,186.2,29514,5504,236305,INE081A01020,I31000T31190,31150,Steel-Integrated,2,395,TATA,3,TATA STEEL LTD,500470,TATASTEEL,1,8.1,10.7,5.9,15.09,31.6,12.3,360,1.9,0.94
41,,41,IOC,231306,-1624,-0.7,112183,32,3248,1.4,0,0,12639,5.8,17157,8,48282,26.4,163.8,164.95,-1.15,-0.7,165,165.05,161.2,163.8,11847,1931,89090,INE242A01010,I32200T32290,32210,Refineries,2,1.19,PETROLEUM & NATURAL GAS MINISTRY,2,INDIAN OIL CORPORATION LTD,530965,IOC,0,11.7,11.7,15.46,29.05,10.6,5.6,30,1.8,0.72
42,,42,SBI Life Ins,209497,1173,0.6,93519,43,7830,3.9,6978,3.4,32001,18,29247,16.2,65787,45.8,2089.6,2077.9,11.7,0.6,2074.75,2106,2067.6,2094.9,751,1574,50114,INE123W01016,I72200T72290,72211,Life Insurance,2,1.1,FINANCE MINISTRY,3,SBI LIFE INSURANCE COMPANY LTD,540719,SBILIFE,1,14.4,14.9,24.47,24.47,85.4,85.4,0,0,0
43,,43,Hindalco Ind,209235,2420,1.2,136756,25,12943,6.6,26496,14.5,36963,21.5,53979,34.8,81785,64.2,942.5,931.6,10.9,1.2,937,970.6,937,942.5,10707,10212,166487,INE038A01020,I31200T31290,31210,Non-Ferrous-Basic,2,64.231,ADITYA BIRLA,2,HINDALCO INDUSTRIES LTD,500440,HINDALCO,1,15.2,15.3,84.54,120.23,11.2,7.8,500,0.5,0.46
44,,44,Eicher Motors,205971,592.49,0.3,104921,37,9901,5,8252,4.2,17417,9.2,51684,33.5,62031,43.1,7508.95,7487.35,21.6,0.3,7497.3,7569,7487.25,7525.6,405,3050,49287,INE066A01021,I24000T24190,24140,LCV/MCV/HCV/Bus,1,109,EICHER - VIKRAM LAL,1,EICHER MOTORS LTD,505200,EICHERMOT,1,20.7,27.2,160.55,192.91,46.8,38.9,7000,0.9,0.01
45,,45,Grasim Ind,194760,864.3,0.4,110799,33,1361,0.7,7714,4.1,3866,2,3770,2,30093,18.3,2861.8,2849.1,12.7,0.4,2850.65,2879.9,2845,2865.6,769,2202,40785,INE047A01021,I26100T26790,26530,Viscos Fibre/Yarn,1,64.231,ADITYA BIRLA,3,GRASIM INDUSTRIES LTD,500300,GRASIM,1,4.1,9.4,59.09,171.22,48.4,16.7,500,0.4,1.84
46,,46,Indigo Air,193644,-3578,-1.8,113127,31,-268.69,-0.1,-14010,-6.7,-26544,-12.1,-29027,-13,28883,17.5,5008.9,5101.45,-92.55,-1.8,5101.45,5140,4994,5001.3,875,4408,55327,INE646L01027,I54000T54500,54110,Air-Passenger,1,,,2,INTERGLOBE AVIATION LTD,539448,INDIGO,1,101.1,138.1,244.96,501.65,20.5,10,100,0.2,0.21
47,,47,Jio Financial,189578,-1207,-0.6,100249,40,3717,2,-3431,-1.8,-4955,-2.5,-16899,-8.2,1171,0.6,298.4,300.3,-1.9,-0.6,299.3,302.3,293.55,298.4,11333,3373,91927,INE758E01017,I72000T72190,72100,NBFC-General,1,322.1,RELIANCE-MUKESH,2,JIO FINANCIAL SERVICES LTD,543940,JIOFIN,1,0.7,1.2,1.38,1.49,216.2,200.3,5,0.2,0.02
48,,48,Shriram Finance,188476,-206.91,-0.1,140622,24,4298,2.3,27538,17.1,62226,49.3,61079,47.9,77078,69.2,1002,1003.1,-1.1,-0.1,1004,1011.65,992.15,1002.5,4432,4440,92839,INE721A01047,I72000T72190,72110,NBFC-Asset Fin-DT,2,355,SHRIRAM (MADRAS),1,SHRIRAM FINANCE  LTD,511218,SHRIRAMFIN,1,13.9,18,41.74,42.58,24,23.5,495,1,2.93
49,,49,Hyundai Motor,187441,2088,1.1,32802,137,637.84,0.3,-195.01,-0.1,-14089,-7,19741,11.8,41033,28,2306.85,2281.15,25.7,1.1,2284.3,2309.85,2266.6,2307.2,349,802,20473,INE0V6F01027,I24000T24190,24130,Cars/Suvs,2,4.06,HYUNDAI,1,HYUNDAI MOTOR INDIA LTD,544274,HYUNDAI,0,35.1,45.8,70.35,95.19,32.8,24.2,210,0.9,0.05
50,,50,TVS Motor,183771,247.06,0.1,91389,46,11124,6.4,9647,5.5,17011,10.2,47130,34.5,69215,60.4,3868.05,3862.85,5.2,0.1,3879.7,3882.6,3835.35,3868.05,389,1502,41524,INE494B01023,I24000T24190,24110,Auto 2-3 Wheeler,2,418.5,TVS SRINIVASAN,1,TVS MOTOR COMPANY LTD,532343,TVSMOTOR,0,32.6,17.6,58.27,83.74,66.4,46.2,0,0,3.4
